date,day_of_week,month,week_number
2011-11-21,2,11,47
2011-11-22,3,11,47
2011-11-23,4,11,47
2011-11-24,5,11,47
2011-11-25,6,11,47
2011-11-26,7,11,48
2011-11-27,1,11,48
2011-11-28,2,11,48
2011-11-29,3,11,48
2011-11-30,4,11,48
2011-12-01,5,12,48
2011-12-02,6,12,48
2011-12-03,7,12,49
2011-12-04,1,12,49
2011-12-05,2,12,49
2011-12-06,3,12,49
2011-12-07,4,12,49
2011-12-08,5,12,49
2011-12-09,6,12,49
2011-12-10,7,12,50
2011-12-11,1,12,50
2011-12-12,2,12,50
2011-12-13,3,12,50
2011-12-14,4,12,50
2011-12-15,5,12,50
2011-12-16,6,12,50
2011-12-17,7,12,51
2011-12-18,1,12,51
2011-12-19,2,12,51
2011-12-20,3,12,51
2011-12-21,4,12,51
2011-12-22,5,12,51
2011-12-23,6,12,51
2011-12-24,7,12,52
2011-12-25,1,12,52
2011-12-26,2,12,52
2011-12-27,3,12,52
2011-12-28,4,12,52
2011-12-29,5,12,52
2011-12-30,6,12,52
2011-12-31,7,12,53
2012-01-01,1,1,1
2012-01-02,2,1,1
2012-01-03,3,1,1
2012-01-04,4,1,1
2012-01-05,5,1,1
2012-01-06,6,1,1
2012-01-07,7,1,1
2012-01-08,1,1,2
2012-01-09,2,1,2
2012-01-10,3,1,2
2012-01-11,4,1,2
2012-01-12,5,1,2
2012-01-13,6,1,2
2012-01-14,7,1,2
2012-01-15,1,1,3
2012-01-16,2,1,3
2012-01-17,3,1,3
2012-01-18,4,1,3
2012-01-19,5,1,3
2012-01-20,6,1,3
2012-01-21,7,1,3
2012-01-22,1,1,4
2012-01-23,2,1,4
2012-01-24,3,1,4
2012-01-25,4,1,4
2012-01-26,5,1,4
2012-01-27,6,1,4
2012-01-28,7,1,4
2012-01-29,1,1,5
2012-01-30,2,1,5
2012-01-31,3,1,5
2012-02-01,4,2,5
2012-02-02,5,2,5
2012-02-03,6,2,5
2012-02-04,7,2,5
2012-02-05,1,2,6
2012-02-06,2,2,6
2012-02-07,3,2,6
2012-02-08,4,2,6
2012-02-09,5,2,6
2012-02-10,6,2,6
2012-02-11,7,2,6
2012-02-12,1,2,7
2012-02-13,2,2,7
2012-02-14,3,2,7
2012-02-15,4,2,7
2012-02-16,5,2,7
2012-02-17,6,2,7
2012-02-18,7,2,7
2012-02-19,1,2,8
2012-02-20,2,2,8
2012-02-21,3,2,8
2012-02-22,4,2,8
2012-02-23,5,2,8
2012-02-24,6,2,8
2012-02-25,7,2,8
2012-02-26,1,2,9
2012-02-27,2,2,9
2012-02-28,3,2,9
2012-02-29,4,2,9
2012-03-01,5,3,9
2012-03-02,6,3,9
2012-03-03,7,3,9
2012-03-04,1,3,10
2012-03-05,2,3,10
2012-03-06,3,3,10
2012-03-07,4,3,10
2012-03-08,5,3,10
2012-03-09,6,3,10
2012-03-10,7,3,10
2012-03-11,1,3,11
2012-03-12,2,3,11
2012-03-13,3,3,11
2012-03-14,4,3,11
2012-03-15,5,3,11
2012-03-16,6,3,11
2012-03-17,7,3,11
2012-03-18,1,3,12
2012-03-19,2,3,12
2012-03-20,3,3,12
2012-03-21,4,3,12
2012-03-22,5,3,12
2012-03-23,6,3,12
2012-03-24,7,3,12
2012-03-25,1,3,13
2012-03-26,2,3,13
2012-03-27,3,3,13
2012-03-28,4,3,13
2012-03-29,5,3,13
2012-03-30,6,3,13
2012-03-31,7,3,13
2012-04-01,1,4,14
2012-04-02,2,4,14
2012-04-03,3,4,14
2012-04-04,4,4,14
2012-04-05,5,4,14
2012-04-06,6,4,14
2012-04-07,7,4,14
2012-04-08,1,4,15
2012-04-09,2,4,15
2012-04-10,3,4,15
2012-04-11,4,4,15
2012-04-12,5,4,15
2012-04-13,6,4,15
2012-04-14,7,4,15
2012-04-15,1,4,16
2012-04-16,2,4,16
2012-04-17,3,4,16
2012-04-18,4,4,16
2012-04-19,5,4,16
2012-04-20,6,4,16
2012-04-21,7,4,16
2012-04-22,1,4,17
2012-04-23,2,4,17
2012-04-24,3,4,17
2012-04-25,4,4,17
2012-04-26,5,4,17
2012-04-27,6,4,17
2012-04-28,7,4,17
2012-04-29,1,4,18
2012-04-30,2,4,18
2012-05-01,3,5,18
2012-05-02,4,5,18
2012-05-03,5,5,18
2012-05-04,6,5,18
2012-05-05,7,5,18
2012-05-06,1,5,19
2012-05-07,2,5,19
2012-05-08,3,5,19
2012-05-09,4,5,19
2012-05-10,5,5,19
2012-05-11,6,5,19
2012-05-12,7,5,19
2012-05-13,1,5,20
2012-05-14,2,5,20
2012-05-15,3,5,20
2012-05-16,4,5,20
2012-05-17,5,5,20
2012-05-18,6,5,20
2012-05-19,7,5,20
2012-05-20,1,5,21
2012-05-21,2,5,21
2012-05-22,3,5,21
2012-05-23,4,5,21
2012-05-24,5,5,21
2012-05-25,6,5,21
2012-05-26,7,5,21
2012-05-27,1,5,22
2012-05-28,2,5,22
2012-05-29,3,5,22
2012-05-30,4,5,22
2012-05-31,5,5,22
2012-06-01,6,6,22
2012-06-02,7,6,22
2012-06-03,1,6,23
2012-06-04,2,6,23
2012-06-05,3,6,23
2012-06-06,4,6,23
2012-06-07,5,6,23
2012-06-08,6,6,23
2012-06-09,7,6,23
2012-06-10,1,6,24
2012-06-11,2,6,24
2012-06-12,3,6,24
2012-06-13,4,6,24
2012-06-14,5,6,24
2012-06-15,6,6,24
2012-06-16,7,6,24
2012-06-17,1,6,25
2012-06-18,2,6,25
2012-06-19,3,6,25
2012-06-20,4,6,25
2012-06-21,5,6,25
2012-06-22,6,6,25
2012-06-23,7,6,25
2012-06-24,1,6,26
2012-06-25,2,6,26
2012-06-26,3,6,26
2012-06-27,4,6,26
2012-06-28,5,6,26
2012-06-29,6,6,26
2012-06-30,7,6,26
2012-07-01,1,7,27
2012-07-02,2,7,27
2012-07-03,3,7,27
2012-07-04,4,7,27
2012-07-05,5,7,27
2012-07-06,6,7,27
2012-07-07,7,7,27
2012-07-08,1,7,28
2012-07-09,2,7,28
2012-07-10,3,7,28
2012-07-11,4,7,28
2012-07-12,5,7,28
2012-07-13,6,7,28
2012-07-14,7,7,28
2012-07-15,1,7,29
2012-07-16,2,7,29
2012-07-17,3,7,29
2012-07-18,4,7,29
2012-07-19,5,7,29
2012-07-20,6,7,29
2012-07-21,7,7,29
2012-07-22,1,7,30
2012-07-23,2,7,30
2012-07-24,3,7,30
2012-07-25,4,7,30
2012-07-26,5,7,30
2012-07-27,6,7,30
2012-07-28,7,7,30
2012-07-29,1,7,31
2012-07-30,2,7,31
2012-07-31,3,7,31
2012-08-01,4,8,31
2012-08-02,5,8,31
2012-08-03,6,8,31
2012-08-04,7,8,31
2012-08-05,1,8,32
2012-08-06,2,8,32
2012-08-07,3,8,32
2012-08-08,4,8,32
2012-08-09,5,8,32
2012-08-10,6,8,32
2012-08-11,7,8,32
2012-08-12,1,8,33
2012-08-13,2,8,33
2012-08-14,3,8,33
2012-08-15,4,8,33
2012-08-16,5,8,33
2012-08-17,6,8,33
2012-08-18,7,8,33
2012-08-19,1,8,34
2012-08-20,2,8,34
2012-08-21,3,8,34
2012-08-22,4,8,34
2012-08-23,5,8,34
2012-08-24,6,8,34
2012-08-25,7,8,34
2012-08-26,1,8,35
2012-08-27,2,8,35
2012-08-28,3,8,35
2012-08-29,4,8,35
2012-08-30,5,8,35
2012-08-31,6,8,35
2012-09-01,7,9,35
2012-09-02,1,9,36
2012-09-03,2,9,36
2012-09-04,3,9,36
2012-09-05,4,9,36
2012-09-06,5,9,36
2012-09-07,6,9,36
2012-09-08,7,9,36
2012-09-09,1,9,37
2012-09-10,2,9,37
2012-09-11,3,9,37
2012-09-12,4,9,37
2012-09-13,5,9,37
2012-09-14,6,9,37
2012-09-15,7,9,37
2012-09-16,1,9,38
2012-09-17,2,9,38
2012-09-18,3,9,38
2012-09-19,4,9,38
2012-09-20,5,9,38
2012-09-21,6,9,38
2012-09-22,7,9,38
2012-09-23,1,9,39
2012-09-24,2,9,39
2012-09-25,3,9,39
2012-09-26,4,9,39
2012-09-27,5,9,39
2012-09-28,6,9,39
2012-09-29,7,9,39
